codigo_pais,logo_url,logo_url,logo_url,Pais,pais_id,region_id
AFG,https://api.fifa.com/api/v1/picture/flags-sq-4/afg,https://api.fifa.com/api/v1/picture/flags-sq-4/afg,https://api.fifa.com/api/v1/picture/flags-sq-4/afg,Afghanistan,64cd25b2-5fe0-439d-a992-6bc95b2251a8,9aee3b2a-dac3-4398-a8f6-6a6cd2b88c74
AIA,https://api.fifa.com/api/v1/picture/flags-sq-4/aia,https://api.fifa.com/api/v1/picture/flags-sq-4/aia,https://api.fifa.com/api/v1/picture/flags-sq-4/aia,Anguilla,4b87e43c-239e-45e9-b6e6-70e624dbcb8f,299297c1-0ff6-400f-a711-e0f9505e6d01
ALB,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,Albania,17913ba0-8711-4575-ba70-3e032693c997,f5108bc2-6414-428d-afa8-7f6d4c02d153
ALG,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,Algeria,b2ba4b83-fda7-4865-9cd0-b5dc5b71126c,180c304e-079d-4845-95e1-c2a3976914c0
AND,https://api.fifa.com/api/v1/picture/flags-sq-4/and,https://api.fifa.com/api/v1/picture/flags-sq-4/and,https://api.fifa.com/api/v1/picture/flags-sq-4/and,Andorra,b2fd5ae9-59d0-4909-a4d8-da10650a186d,f5108bc2-6414-428d-afa8-7f6d4c02d153
ANG,https://api.fifa.com/api/v1/picture/flags-sq-4/ang,https://api.fifa.com/api/v1/picture/flags-sq-4/ang,https://api.fifa.com/api/v1/picture/flags-sq-4/ang,Angola,20f9a085-0101-49f2-925a-2eb99fdb559c,180c304e-079d-4845-95e1-c2a3976914c0
ARG,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,Argentina,3cc16633-ccb8-4c00-b59e-e1e210b63db5,1c0979d8-d333-4b0a-a069-ee7fd86bb1b6
ARM,https://api.fifa.com/api/v1/picture/flags-sq-4/arm,https://api.fifa.com/api/v1/picture/flags-sq-4/arm,https://api.fifa.com/api/v1/picture/flags-sq-4/arm,Armenia,195a0e76-a1fb-4660-8da8-59e8891a935a,9aee3b2a-dac3-4398-a8f6-6a6cd2b88c74
ARU,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,Aruba,674a1e6f-afff-4ca7-b5d7-d3fc2f1fa878,299297c1-0ff6-400f-a711-e0f9505e6d01
ASA,https://api.fifa.com/api/v1/picture/flags-sq-4/asa,https://api.fifa.com/api/v1/picture/flags-sq-4/asa,https://api.fifa.com/api/v1/picture/flags-sq-4/asa,American Samoa,0533af29-538c-4421-9b0e-0e33719cbfec,7ac257e8-e9b0-40a0-9371-5dc58e38ffba
