partida,capitulo,area,nombre_partida,nombre_capitulo,nombre_area,count,sum,ano
26,01,001,MINISTERIO DEL DEPORTE,SUBSECRETARIA DEL DEPORTE,SUBSECRETARIA DEL DEPORTE - NIVEL CENTRAL,2591,7202882672,2024
26,02,001,MINISTERIO DEL DEPORTE,INSTITUTO NACIONAL DE DEPORTES,DIRECCIÓN REGIONAL DE DEPORTES I REGIÓN TARAPACÁ,616,1018746816,2024
26,02,002,MINISTERIO DEL DEPORTE,INSTITUTO NACIONAL DE DEPORTES,DIRECCIÓN REGIONAL DE DEPORTES II REGIÓN ANTOFAGAS,752,1216024184,2024
26,02,003,MINISTERIO DEL DEPORTE,INSTITUTO NACIONAL DE DEPORTES,DIRECCIÓN REGIONAL DE DEPORTES III REGIÓN ATACAMA,974,1290957322,2024
26,02,004,MINISTERIO DEL DEPORTE,INSTITUTO NACIONAL DE DEPORTES,DIRECCIÓN REGIONAL DE DEPORTES IV REGIÓN COQUIMBO,901,1359465769,2024
26,02,005,MINISTERIO DEL DEPORTE,INSTITUTO NACIONAL DE DEPORTES,DIRECCIÓN REGIONAL DE DEPORTES V REGIÓN VALPARAÍSO,1418,4449777236,2024
26,02,006,MINISTERIO DEL DEPORTE,INSTITUTO NACIONAL DE DEPORTES,DIRECCIÓN REGIONAL DE DEPORTES VI REGIÓN O´HIGGINS,870,1342116079,2024
26,02,007,MINISTERIO DEL DEPORTE,INSTITUTO NACIONAL DE DEPORTES,DIRECCIÓN REGIONAL DE DEPORTES VII REGIÓN MAULE,1550,3397653741,2024
26,02,008,MINISTERIO DEL DEPORTE,INSTITUTO NACIONAL DE DEPORTES,DIRECCIÓN REGIONAL DE DEPORTES VIII REGIÓN BÍO-BÍO,990,1998551861,2024
26,02,009,MINISTERIO DEL DEPORTE,INSTITUTO NACIONAL DE DEPORTES,DIRECCIÓN REGIONAL DE DEPORTES IX REGIÓN ARAUCANÍA,3202,1841936465,2024
26,02,010,MINISTERIO DEL DEPORTE,INSTITUTO NACIONAL DE DEPORTES,DIRECCIÓN REGIONAL DE DEPORTES X REGIÓN LOS LAGOS,923,1259231705,2024
26,02,011,MINISTERIO DEL DEPORTE,INSTITUTO NACIONAL DE DEPORTES,DIRECCIÓN REGIONAL DE DEPORTES XI REGIÓN AYSÉN,881,972096088,2024
