"id";"name";"country";"logo";"short_code";"detail_url"
1;"Afghanistan";"Afghanistan";"https://api.fifa.com/api/v1/picture/flags-sq-4/afg";"AFG";"https://www.fifa.com/associations/association/AFG"
2;"Albania";"Albania";"https://api.fifa.com/api/v1/picture/flags-sq-4/alb";"ALB";"https://www.fifa.com/associations/association/ALB"
3;"Algeria";"Algeria";"https://api.fifa.com/api/v1/picture/flags-sq-4/alg";"ALG";"https://www.fifa.com/associations/association/ALG"
4;"American Samoa";"American Samoa";"https://api.fifa.com/api/v1/picture/flags-sq-4/asa";"ASA";"https://www.fifa.com/associations/association/ASA"
5;"Andorra";"Andorra";"https://api.fifa.com/api/v1/picture/flags-sq-4/and";"AND";"https://www.fifa.com/associations/association/AND"
6;"Angola";"Angola";"https://api.fifa.com/api/v1/picture/flags-sq-4/ang";"ANG";"https://www.fifa.com/associations/association/ANG"
7;"Anguilla";"Anguilla";"https://api.fifa.com/api/v1/picture/flags-sq-4/aia";"AIA";"https://www.fifa.com/associations/association/AIA"
8;"Antigua and Barbuda";"Antigua and Barbuda";"https://api.fifa.com/api/v1/picture/flags-sq-4/atg";"ATG";"https://www.fifa.com/associations/association/ATG"
9;"Argentina";"Argentina";"https://api.fifa.com/api/v1/picture/flags-sq-4/arg";"ARG";"https://www.fifa.com/associations/association/ARG"
10;"Armenia";"Armenia";"https://api.fifa.com/api/v1/picture/flags-sq-4/arm";"ARM";"https://www.fifa.com/associations/association/ARM"
11;"Aruba";"Aruba";"https://api.fifa.com/api/v1/picture/flags-sq-4/aru";"ARU";"https://www.fifa.com/associations/association/ARU"
12;"Australia";"Australia";"https://api.fifa.com/api/v1/picture/flags-sq-4/aus";"AUS";"https://www.fifa.com/associations/association/AUS"
13;"Austria";"Austria";"https://api.fifa.com/api/v1/picture/flags-sq-4/aut";"AUT";"https://www.fifa.com/associations/association/AUT"
14;"Azerbaijan";"Azerbaijan";"https://api.fifa.com/api/v1/picture/flags-sq-4/aze";"AZE";"https://www.fifa.com/associations/association/AZE"
15;"Bahamas";"Bahamas";"https://api.fifa.com/api/v1/picture/flags-sq-4/bah";"BAH";"https://www.fifa.com/associations/association/BAH"
16;"Bahrain";"Bahrain";"https://api.fifa.com/api/v1/picture/flags-sq-4/bhr";"BHR";"https://www.fifa.com/associations/association/BHR"
17;"Bangladesh";"Bangladesh";"https://api.fifa.com/api/v1/picture/flags-sq-4/ban";"BAN";"https://www.fifa.com/associations/association/BAN"
18;"Barbados";"Barbados";"https://api.fifa.com/api/v1/picture/flags-sq-4/brb";"BRB";"https://www.fifa.com/associations/association/BRB"
19;"Belarus";"Belarus";"https://api.fifa.com/api/v1/picture/flags-sq-4/blr";"BLR";"https://www.fifa.com/associations/association/BLR"
20;"Belgium";"Belgium";"https://api.fifa.com/api/v1/picture/flags-sq-4/bel";"BEL";"https://www.fifa.com/associations/association/BEL"
21;"Belize";"Belize";"https://api.fifa.com/api/v1/picture/flags-sq-4/blz";"BLZ";"https://www.fifa.com/associations/association/BLZ"
22;"Benin";"Benin";"https://api.fifa.com/api/v1/picture/flags-sq-4/ben";"BEN";"https://www.fifa.com/associations/association/BEN"
