pais,Oro Total,Plata Total,Bronce Total,Total,Oro Masculina,Plata Masculina,Bronce Masculina,Total Masculina,Oro Femenina,Plata Femenina,Bronce Femenina,Total Femenina,Oro Mixta,Plata Mixta,Bronce Mixta,Total Mixta
United States,68,45,50,163,28,20,16,64,33,22,29,84,7,3,5,15
Mexico,35,21,32,88,17,5,21,43,15,13,10,38,3,3,1,7
Brazil,34,39,33,106,16,18,13,47,17,17,17,51,1,4,2,7
Canada,33,30,35,98,12,13,15,40,19,16,17,52,2,1,3,6
Colombia,12,18,13,43,5,9,8,22,6,9,5,20,1,0,0,1
Cuba,7,6,7,20,5,5,4,14,2,1,2,5,0,0,1,1
Chile,5,15,12,32,2,9,5,16,3,5,7,15,0,1,0,1
Dominican Republic,9,4,6,19,2,3,4,9,3,1,2,6,0,0,0,0
Ecuador,4,7,12,23,2,2,7,11,1,4,4,9,1,1,1,3
Argentina,3,15,14,32,2,7,6,15,1,7,7,15,0,1,1,2
Venezuela,3,5,6,14,3,4,2,9,0,1,4,5,0,0,0,0
Equipo de atletas independientes,3,4,5,12,1,1,3,5,3,2,2,7,0,0,0,0
Peru,3,1,10,14,2,1,6,9,1,0,3,4,0,0,1,1
Uruguay,2,2,2,6,2,2,2,6,0,0,0,0,0,0,0,0
Bolivia,2,1,2,5,2,1,0,3,0,0,1,1,0,0,1,1
Trinidad and Tobago,1,1,1,3,1,1,1,3,0,0,0,0,0,0,0,0
Nicaragua,0,2,0,2,0,1,0,1,0,0,0,0,0,1,0,1
Puerto Rico,0,1,6,7,0,0,3,3,0,1,2,3,0,0,1,1
Panama,0,1,4,5,0,0,1,1,0,0,1,3,0,0,4,4
Haiti,0,1,2,3,0,0,1,1,0,1,1,2,0,0,0,0
Suriname,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Paraguay,0,0,6,6,0,0,1,1,0,0,5,5,0,0,0,0
Costa Rica,0,0,2,2,0,0,1,1,0,0,1,1,0,0,0,0
Bahamas,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
Bermuda,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
El Salvador,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
Jamaica,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0
